clientId,INC,ApnaDal,SP,RLD,BJP,BSP
57aafdc2-3f0b-43cf-b420-950c67509675,Very far,Very far,Very far,Very far,Very inclined,Very far
b476eea3-3381-4dad-b9d2-8b693e03e53b,Very far,Very far,Very far,Very far,Very inclined,Very far
c62c3c79-d81d-47e7-8396-eff30caf15c3,Very far,Very far,Very far,Very far,Very inclined,Very far
28c8f1be-9902-4727-a0ff-244cfe213363,Very far,Very far,Very far,Very far,Very far,Very far
1eb271e3-15fe-4de7-8bde-47f104277feb,Very far,Very far,Very far,Very far,Very inclined,Very far
6aa45e4d-ba1a-4739-bcf6-4850874fde79,Very far,Very far,Very far,Very far,Very inclined,Very far
920ec45a-fbd7-4c9a-be2b-0c505ee932ae,Very far,Inclined,Very inclined,Inclined,Very inclined,Inclined
d95dcde6-df34-45ef-bed1-01b39e2c8bea,Very inclined,Very far,Inclined,Very far,Very inclined,Very far
ee7b7586-7a13-4e64-8700-ddd4677a5c48,Inclined,Very far,Very inclined,Very far,Very far,Very far
7ad165e8-a384-4af5-92c9-6ae749ca8567,Very far,Very far,Very far,Very far,Very inclined,Very far
1b5da7d8-0b14-45f3-824c-bd19df8799f4,Very far,Very far,Very inclined,Very far,Very far,Very far
2562c32f-d202-4fd9-83e9-a749ae6be573,Very far,Very far,Very far,Very far,Very far,Very inclined
f7c8b129-afb6-4304-8642-e7467bb6fac0,Very far,Inclined,Very far,Very far,Very inclined,Very far
0bb5e112-a3a7-4291-8d91-03318b7e74e0,Very far,Very far,Very far,Very far,Inclined,Very far
66a503f4-e96e-4ca2-b9b7-00324f0dbf50,Far,Far,Far,Far,Very far,Far
e5aaf524-bab4-4f6b-8c60-cad070083bc5,Very far,Very far,Very far,Very far,Very inclined,Very far
b1ef8f63-b8b7-4617-9a3d-25763a37ced5,Very far,Very far,Far,Very far,Inclined,Very far
fc0c61d8-c2d9-48d5-8f87-bee54eac6ad2,Very far,Very far,Very far,Very far,Very inclined,Very far
95b572f6-b6bd-4322-b38e-8e800c91bfca,Very far,Very far,Very inclined,Inclined,Very far,Very far
780f26a9-2746-48d3-b2de-a6adafd4d1dd,Far,Very far,Very inclined,Very far,Inclined,Very far
6deea1e9-42c4-4e62-b167-2aefdfedac51,Very far,Very far,Very far,Very far,Very inclined,Very far
d89142b3-7877-45d0-a8e7-18efb11188b7,Very far,Very far,Very far,Very far,Very inclined,Very far
2eedab1c-8d1f-4d13-80ff-c8ae82a71b44,Very far,Very far,Very far,Very far,Very far,Very far
091d726e-87ac-46e9-8fd9-12ed6a45c1bf,Very far,Very far,Very far,Very far,Very inclined,Very far
1740fa28-a894-44fc-806a-acc0ab00e332,Very far,Very far,Very far,Very far,Very inclined,Very far
e69df687-1ca2-4e38-9aa3-8d5523e4fabe,Far,Very far,Far,Very far,Inclined,Very far
252fd894-fa19-47b5-8984-d09b12a1ed92,Very far,Very far,Very far,Very far,Very inclined,Very far
fdbfab06-c304-4f33-9e18-e56f1b444778,Inclined,Very far,Very far,Very far,Very far,Very far
1b822c59-b3a0-4cb9-9f66-1c44cc353561,Very far,Very far,Very far,Very far,Very inclined,Very far
fb1df61d-b9d7-4e69-90a4-d9e3f830f7e4,Very far,Very far,Very far,Very far,Very inclined,Very far
09bc7b60-e297-49d7-8704-9990d3a8cc2e,Far,Very far,Very far,Very far,Inclined,Very far
0b2def94-12ae-4ba4-9d22-f668262af328,Very far,Very far,Very far,Very far,Very inclined,Very far
e48bbdd0-5296-4077-9fa2-679393d29bbc,Very far,Very far,Inclined,Very far,Very inclined,Very far
9762a55c-af95-4f70-80a6-8db51ae576bf,Very far,Very far,Inclined,Very far,Inclined,Very far
cc70f89d-32ae-48cc-8954-7013cf243c40,Far,Very far,Far,Very far,Far,Inclined
0af9e4ee-f69b-4fca-a1eb-08a3e0e4cffd,Very far,Very far,Very far,Very far,Very inclined,Very far
53d0f665-1819-405d-a5ad-1a09770a5628,Very far,Very far,Very far,Very far,Very inclined,Very far
16468c27-2c84-4fd7-9265-29d9ccbc4bb0,Very far,Very far,Very far,Very far,Very inclined,Very far
04fc6eb1-db6c-4667-ae38-efe6f3b0a59c,Very far,Very far,Very far,Very far,Very inclined,Very far
13524ba0-f725-48b8-9790-f7244d15b55a,Very far,Very far,Very far,Very far,Very inclined,Very far
39ebc1af-035f-41f0-b6ae-2778d3e23690,Very far,Very far,Very far,Very far,Inclined,Very far
6877b9de-eb11-4d32-bb2a-641884f171dd,Very far,Very far,Very far,Very far,Very inclined,Very far
8a1ce0ea-5551-44d0-9e6b-4d7cd1c727d2,Very far,Very far,Very far,Very far,Very inclined,Very far
28417a92-5dfa-47ab-a6fc-8ad77ca67047,Very inclined,Very inclined,Very inclined,Very inclined,Very inclined,Very inclined
1fba6060-d72e-4148-857a-38147eedb7c1,Very far,Far,Very inclined,Far,Far,Far
e1f8f3ae-2cca-4ef9-b09e-aac3ecba5a03,Very far,Very far,Very far,Very far,Very inclined,Very far
2a3b5b20-12a4-499b-b249-0c4bc4c2f86d,Far,Very far,Far,Very far,Far,Very far
b09a718d-42d5-4a11-a863-a74366e53302,Very far,Very far,Very far,Very far,Very inclined,Very far
884a5c4f-6423-4296-8929-741b3397fd5b,Very far,Very far,Very far,Very far,Inclined,Very far
1aadda27-4a65-4e84-a00f-9c5d08970b89,Far,Far,Inclined,Far,Inclined,Far
37d46605-ca60-4dc6-b611-fafc73e7cf19,Far,Very far,Far,Very far,Inclined,Far
e7662952-feaf-4a6e-8fa2-ea57cdd271fd,Very far,Very far,Very far,Very far,Very inclined,Very far
1f3ae98f-4306-4956-b6f7-004e5b86f9df,Very far,Very far,Inclined,Very far,Inclined,Very far
90bed928-7ba8-455f-a425-d5326a928502,Very far,Very far,Very inclined,Very far,Very far,Very far
0809ed60-49d9-4bdf-8bbb-87359d9f9aac,Very far,Very far,Very inclined,Far,Very far,Far
